文字	面区点	水準	Unicode	UTF16
亜	1-16-01	第1水準	U+4E9C	0x4E9C
唖	1-16-02	第1水準	U+5516	0x5516
娃	1-16-03	第1水準	U+5A03	0x5A03
阿	1-16-04	第1水準	U+963F	0x963F
哀	1-16-05	第1水準	U+54C0	0x54C0
愛	1-16-06	第1水準	U+611B	0x611B
挨	1-16-07	第1水準	U+6328	0x6328
姶	1-16-08	第1水準	U+59F6	0x59F6
逢	1-16-09	第1水準	U+9022	0x9022
葵	1-16-10	第1水準	U+8475	0x8475
茜	1-16-11	第1水準	U+831C	0x831C
穐	1-16-12	第1水準	U+7A50	0x7A50
悪	1-16-13	第1水準	U+60AA	0x60AA
握	1-16-14	第1水準	U+63E1	0x63E1
渥	1-16-15	第1水準	U+6E25	0x6E25
旭	1-16-16	第1水準	U+65ED	0x65ED
葦	1-16-17	第1水準	U+8466	0x8466
芦	1-16-18	第1水準	U+82A6	0x82A6
鯵	1-16-19	第1水準	U+9BF5	0x9BF5
梓	1-16-20	第1水準	U+6893	0x6893
圧	1-16-21	第1水準	U+5727	0x5727
斡	1-16-22	第1水準	U+65A1	0x65A1
扱	1-16-23	第1水準	U+6271	0x6271
宛	1-16-24	第1水準	U+5B9B	0x5B9B
姐	1-16-25	第1水準	U+59D0	0x59D0
虻	1-16-26	第1水準	U+867B	0x867B
飴	1-16-27	第1水準	U+98F4	0x98F4
絢	1-16-28	第1水準	U+7D62	0x7D62
綾	1-16-29	第1水準	U+7DBE	0x7DBE
鮎	1-16-30	第1水準	U+9B8E	0x9B8E
或	1-16-31	第1水準	U+6216	0x6216
粟	1-16-32	第1水準	U+7C9F	0x7C9F
袷	1-16-33	第1水準	U+88B7	0x88B7
安	1-16-34	第1水準	U+5B89	0x5B89
庵	1-16-35	第1水準	U+5EB5	0x5EB5
按	1-16-36	第1水準	U+6309	0x6309
暗	1-16-37	第1水準	U+6697	0x6697
案	1-16-38	第1水準	U+6848	0x6848
闇	1-16-39	第1水準	U+95C7	0x95C7
鞍	1-16-40	第1水準	U+978D	0x978D
杏	1-16-41	第1水準	U+674F	0x674F
以	1-16-42	第1水準	U+4EE5	0x4EE5
伊	1-16-43	第1水準	U+4F0A	0x4F0A
位	1-16-44	第1水準	U+4F4D	0x4F4D
依	1-16-45	第1水準	U+4F9D	0x4F9D
偉	1-16-46	第1水準	U+5049	0x5049
囲	1-16-47	第1水準	U+56F2	0x56F2
夷	1-16-48	第1水準	U+5937	0x5937
委	1-16-49	第1水準	U+59D4	0x59D4
威	1-16-50	第1水準	U+5A01	0x5A01
尉	1-16-51	第1水準	U+5C09	0x5C09
惟	1-16-52	第1水準	U+60DF	0x60DF
意	1-16-53	第1水準	U+610F	0x610F
慰	1-16-54	第1水準	U+6170	0x6170
易	1-16-55	第1水準	U+6613	0x6613
椅	1-16-56	第1水準	U+6905	0x6905
為	1-16-57	第1水準	U+70BA	0x70BA
畏	1-16-58	第1水準	U+754F	0x754F
異	1-16-59	第1水準	U+7570	0x7570
移	1-16-60	第1水準	U+79FB	0x79FB
維	1-16-61	第1水準	U+7DAD	0x7DAD
緯	1-16-62	第1水準	U+7DEF	0x7DEF
胃	1-16-63	第1水準	U+80C3	0x80C3
萎	1-16-64	第1水準	U+840E	0x840E
衣	1-16-65	第1水準	U+8863	0x8863
謂	1-16-66	第1水準	U+8B02	0x8B02
違	1-16-67	第1水準	U+9055	0x9055
遺	1-16-68	第1水準	U+907A	0x907A
医	1-16-69	第1水準	U+533B	0x533B
井	1-16-70	第1水準	U+4E95	0x4E95
亥	1-16-71	第1水準	U+4EA5	0x4EA5
域	1-16-72	第1水準	U+57DF	0x57DF
育	1-16-73	第1水準	U+80B2	0x80B2
郁	1-16-74	第1水準	U+90C1	0x90C1
磯	1-16-75	第1水準	U+78EF	0x78EF
一	1-16-76	第1水準	U+4E00	0x4E00
壱	1-16-77	第1水準	U+58F1	0x58F1
溢	1-16-78	第1水準	U+6EA2	0x6EA2
逸	1-16-79	第1水準	U+9038	0x9038
稲	1-16-80	第1水準	U+7A32	0x7A32
茨	1-16-81	第1水準	U+8328	0x8328
芋	1-16-82	第1水準	U+828B	0x828B
鰯	1-16-83	第1水準	U+9C2F	0x9C2F
允	1-16-84	第1水準	U+5141	0x5141
印	1-16-85	第1水準	U+5370	0x5370
咽	1-16-86	第1水準	U+54BD	0x54BD
員	1-16-87	第1水準	U+54E1	0x54E1
因	1-16-88	第1水準	U+56E0	0x56E0
姻	1-16-89	第1水準	U+59FB	0x59FB
引	1-16-90	第1水準	U+5F15	0x5F15
飲	1-16-91	第1水準	U+98F2	0x98F2
淫	1-16-92	第1水準	U+6DEB	0x6DEB
胤	1-16-93	第1水準	U+80E4	0x80E4
蔭	1-16-94	第1水準	U+852D	0x852D
院	1-17-01	第1水準	U+9662	0x9662
陰	1-17-02	第1水準	U+9670	0x9670
隠	1-17-03	第1水準	U+96A0	0x96A0
韻	1-17-04	第1水準	U+97FB	0x97FB
吋	1-17-05	第1水準	U+540B	0x540B
右	1-17-06	第1水準	U+53F3	0x53F3
宇	1-17-07	第1水準	U+5B87	0x5B87
烏	1-17-08	第1水準	U+70CF	0x70CF
羽	1-17-09	第1水準	U+7FBD	0x7FBD
迂	1-17-10	第1水準	U+8FC2	0x8FC2
雨	1-17-11	第1水準	U+96E8	0x96E8
卯	1-17-12	第1水準	U+536F	0x536F
鵜	1-17-13	第1水準	U+9D5C	0x9D5C
窺	1-17-14	第1水準	U+7ABA	0x7ABA
丑	1-17-15	第1水準	U+4E11	0x4E11
碓	1-17-16	第1水準	U+7893	0x7893
臼	1-17-17	第1水準	U+81FC	0x81FC
渦	1-17-18	第1水準	U+6E26	0x6E26
嘘	1-17-19	第1水準	U+5618	0x5618
唄	1-17-20	第1水準	U+5504	0x5504
欝	1-17-21	第1水準	U+6B1D	0x6B1D
蔚	1-17-22	第1水準	U+851A	0x851A
鰻	1-17-23	第1水準	U+9C3B	0x9C3B
姥	1-17-24	第1水準	U+59E5	0x59E5
厩	1-17-25	第1水準	U+53A9	0x53A9
浦	1-17-26	第1水準	U+6D66	0x6D66
瓜	1-17-27	第1水準	U+74DC	0x74DC
閏	1-17-28	第1水準	U+958F	0x958F
噂	1-17-29	第1水準	U+5642	0x5642
云	1-17-30	第1水準	U+4E91	0x4E91
運	1-17-31	第1水準	U+904B	0x904B
雲	1-17-32	第1水準	U+96F2	0x96F2
荏	1-17-33	第1水準	U+834F	0x834F
餌	1-17-34	第1水準	U+990C	0x990C
叡	1-17-35	第1水準	U+53E1	0x53E1
営	1-17-36	第1水準	U+55B6	0x55B6
嬰	1-17-37	第1水準	U+5B30	0x5B30
影	1-17-38	第1水準	U+5F71	0x5F71
映	1-17-39	第1水準	U+6620	0x6620
曳	1-17-40	第1水準	U+66F3	0x66F3
栄	1-17-41	第1水準	U+6804	0x6804
永	1-17-42	第1水準	U+6C38	0x6C38
泳	1-17-43	第1水準	U+6CF3	0x6CF3
洩	1-17-44	第1水準	U+6D29	0x6D29
瑛	1-17-45	第1水準	U+745B	0x745B
盈	1-17-46	第1水準	U+76C8	0x76C8
穎	1-17-47	第1水準	U+7A4E	0x7A4E
頴	1-17-48	第1水準	U+9834	0x9834
英	1-17-49	第1水準	U+82F1	0x82F1
衛	1-17-50	第1水準	U+885B	0x885B
詠	1-17-51	第1水準	U+8A60	0x8A60
鋭	1-17-52	第1水準	U+92ED	0x92ED
液	1-17-53	第1水準	U+6DB2	0x6DB2
疫	1-17-54	第1水準	U+75AB	0x75AB
益	1-17-55	第1水準	U+76CA	0x76CA
駅	1-17-56	第1水準	U+99C5	0x99C5
悦	1-17-57	第1水準	U+60A6	0x60A6
謁	1-17-58	第1水準	U+8B01	0x8B01
越	1-17-59	第1水準	U+8D8A	0x8D8A
閲	1-17-60	第1水準	U+95B2	0x95B2
榎	1-17-61	第1水準	U+698E	0x698E
厭	1-17-62	第1水準	U+53AD	0x53AD
円	1-17-63	第1水準	U+5186	0x5186
園	1-17-64	第1水準	U+5712	0x5712
堰	1-17-65	第1水準	U+5830	0x5830
奄	1-17-66	第1水準	U+5944	0x5944
宴	1-17-67	第1水準	U+5BB4	0x5BB4
延	1-17-68	第1水準	U+5EF6	0x5EF6
怨	1-17-69	第1水準	U+6028	0x6028
掩	1-17-70	第1水準	U+63A9	0x63A9
援	1-17-71	第1水準	U+63F4	0x63F4
沿	1-17-72	第1水準	U+6CBF	0x6CBF
演	1-17-73	第1水準	U+6F14	0x6F14
炎	1-17-74	第1水準	U+708E	0x708E
焔	1-17-75	第1水準	U+7114	0x7114
煙	1-17-76	第1水準	U+7159	0x7159
燕	1-17-77	第1水準	U+71D5	0x71D5
猿	1-17-78	第1水準	U+733F	0x733F
縁	1-17-79	第1水準	U+7E01	0x7E01
艶	1-17-80	第1水準	U+8276	0x8276
苑	1-17-81	第1水準	U+82D1	0x82D1
薗	1-17-82	第1水準	U+8597	0x8597
遠	1-17-83	第1水準	U+9060	0x9060
鉛	1-17-84	第1水準	U+925B	0x925B
鴛	1-17-85	第1水準	U+9D1B	0x9D1B
塩	1-17-86	第1水準	U+5869	0x5869
於	1-17-87	第1水準	U+65BC	0x65BC
汚	1-17-88	第1水準	U+6C5A	0x6C5A
甥	1-17-89	第1水準	U+7525	0x7525
凹	1-17-90	第1水準	U+51F9	0x51F9
央	1-17-91	第1水準	U+592E	0x592E
奥	1-17-92	第1水準	U+5965	0x5965
往	1-17-93	第1水準	U+5F80	0x5F80
応	1-17-94	第1水準	U+5FDC	0x5FDC
押	1-18-01	第1水準	U+62BC	0x62BC
旺	1-18-02	第1水準	U+65FA	0x65FA
横	1-18-03	第1水準	U+6A2A	0x6A2A
欧	1-18-04	第1水準	U+6B27	0x6B27
殴	1-18-05	第1水準	U+6BB4	0x6BB4
王	1-18-06	第1水準	U+738B	0x738B
翁	1-18-07	第1水準	U+7FC1	0x7FC1
襖	1-18-08	第1水準	U+8956	0x8956
鴬	1-18-09	第1水準	U+9D2C	0x9D2C
鴎	1-18-10	第1水準	U+9D0E	0x9D0E
黄	1-18-11	第1水準	U+9EC4	0x9EC4
岡	1-18-12	第1水準	U+5CA1	0x5CA1
沖	1-18-13	第1水準	U+6C96	0x6C96
荻	1-18-14	第1水準	U+837B	0x837B
億	1-18-15	第1水準	U+5104	0x5104
屋	1-18-16	第1水準	U+5C4B	0x5C4B
憶	1-18-17	第1水準	U+61B6	0x61B6
臆	1-18-18	第1水準	U+81C6	0x81C6
桶	1-18-19	第1水準	U+6876	0x6876
牡	1-18-20	第1水準	U+7261	0x7261
乙	1-18-21	第1水準	U+4E59	0x4E59
俺	1-18-22	第1水準	U+4FFA	0x4FFA
卸	1-18-23	第1水準	U+5378	0x5378
恩	1-18-24	第1水準	U+6069	0x6069
温	1-18-25	第1水準	U+6E29	0x6E29
穏	1-18-26	第1水準	U+7A4F	0x7A4F
音	1-18-27	第1水準	U+97F3	0x97F3
下	1-18-28	第1水準	U+4E0B	0x4E0B
化	1-18-29	第1水準	U+5316	0x5316
仮	1-18-30	第1水準	U+4EEE	0x4EEE
何	1-18-31	第1水準	U+4F55	0x4F55
伽	1-18-32	第1水準	U+4F3D	0x4F3D
価	1-18-33	第1水準	U+4FA1	0x4FA1
佳	1-18-34	第1水準	U+4F73	0x4F73
加	1-18-35	第1水準	U+52A0	0x52A0
可	1-18-36	第1水準	U+53EF	0x53EF
嘉	1-18-37	第1水準	U+5609	0x5609
夏	1-18-38	第1水準	U+590F	0x590F
嫁	1-18-39	第1水準	U+5AC1	0x5AC1
家	1-18-40	第1水準	U+5BB6	0x5BB6
寡	1-18-41	第1水準	U+5BE1	0x5BE1
科	1-18-42	第1水準	U+79D1	0x79D1
暇	1-18-43	第1水準	U+6687	0x6687
果	1-18-44	第1水準	U+679C	0x679C
架	1-18-45	第1水準	U+67B6	0x67B6
歌	1-18-46	第1水準	U+6B4C	0x6B4C
河	1-18-47	第1水準	U+6CB3	0x6CB3
火	1-18-48	第1水準	U+706B	0x706B
珂	1-18-49	第1水準	U+73C2	0x73C2
禍	1-18-50	第1水準	U+798D	0x798D
禾	1-18-51	第1水準	U+79BE	0x79BE
稼	1-18-52	第1水準	U+7A3C	0x7A3C
箇	1-18-53	第1水準	U+7B87	0x7B87
花	1-18-54	第1水準	U+82B1	0x82B1
苛	1-18-55	第1水準	U+82DB	0x82DB
茄	1-18-56	第1水準	U+8304	0x8304
荷	1-18-57	第1水準	U+8377	0x8377
華	1-18-58	第1水準	U+83EF	0x83EF
菓	1-18-59	第1水準	U+83D3	0x83D3
蝦	1-18-60	第1水準	U+8766	0x8766
課	1-18-61	第1水準	U+8AB2	0x8AB2
嘩	1-18-62	第1水準	U+5629	0x5629
貨	1-18-63	第1水準	U+8CA8	0x8CA8
迦	1-18-64	第1水準	U+8FE6	0x8FE6
過	1-18-65	第1水準	U+904E	0x904E
霞	1-18-66	第1水準	U+971E	0x971E
蚊	1-18-67	第1水準	U+868A	0x868A
俄	1-18-68	第1水準	U+4FC4	0x4FC4
峨	1-18-69	第1水準	U+5CE8	0x5CE8
我	1-18-70	第1水準	U+6211	0x6211
牙	1-18-71	第1水準	U+7259	0x7259
画	1-18-72	第1水準	U+753B	0x753B
臥	1-18-73	第1水準	U+81E5	0x81E5
芽	1-18-74	第1水準	U+82BD	0x82BD
蛾	1-18-75	第1水準	U+86FE	0x86FE
賀	1-18-76	第1水準	U+8CC0	0x8CC0
雅	1-18-77	第1水準	U+96C5	0x96C5
餓	1-18-78	第1水準	U+9913	0x9913
駕	1-18-79	第1水準	U+99D5	0x99D5
介	1-18-80	第1水準	U+4ECB	0x4ECB
会	1-18-81	第1水準	U+4F1A	0x4F1A
解	1-18-82	第1水準	U+89E3	0x89E3
回	1-18-83	第1水準	U+56DE	0x56DE
塊	1-18-84	第1水準	U+584A	0x584A
壊	1-18-85	第1水準	U+58CA	0x58CA
廻	1-18-86	第1水準	U+5EFB	0x5EFB
快	1-18-87	第1水準	U+5FEB	0x5FEB
怪	1-18-88	第1水準	U+602A	0x602A
悔	1-18-89	第1水準	U+6094	0x6094
恢	1-18-90	第1水準	U+6062	0x6062
懐	1-18-91	第1水準	U+61D0	0x61D0
戒	1-18-92	第1水準	U+6212	0x6212
拐	1-18-93	第1水準	U+62D0	0x62D0
改	1-18-94	第1水準	U+6539	0x6539
魁	1-19-01	第1水準	U+9B41	0x9B41
晦	1-19-02	第1水準	U+6666	0x6666
械	1-19-03	第1水準	U+68B0	0x68B0
海	1-19-04	第1水準	U+6D77	0x6D77
灰	1-19-05	第1水準	U+7070	0x7070
界	1-19-06	第1水準	U+754C	0x754C
皆	1-19-07	第1水準	U+7686	0x7686
絵	1-19-08	第1水準	U+7D75	0x7D75
芥	1-19-09	第1水準	U+82A5	0x82A5
蟹	1-19-10	第1水準	U+87F9	0x87F9
開	1-19-11	第1水準	U+958B	0x958B
階	1-19-12	第1水準	U+968E	0x968E
貝	1-19-13	第1水準	U+8C9D	0x8C9D
凱	1-19-14	第1水準	U+51F1	0x51F1
劾	1-19-15	第1水準	U+52BE	0x52BE
外	1-19-16	第1水準	U+5916	0x5916
咳	1-19-17	第1水準	U+54B3	0x54B3
害	1-19-18	第1水準	U+5BB3	0x5BB3
崖	1-19-19	第1水準	U+5D16	0x5D16
慨	1-19-20	第1水準	U+6168	0x6168
概	1-19-21	第1水準	U+6982	0x6982
涯	1-19-22	第1水準	U+6DAF	0x6DAF
碍	1-19-23	第1水準	U+788D	0x788D
蓋	1-19-24	第1水準	U+84CB	0x84CB
街	1-19-25	第1水準	U+8857	0x8857
該	1-19-26	第1水準	U+8A72	0x8A72
鎧	1-19-27	第1水準	U+93A7	0x93A7
骸	1-19-28	第1水準	U+9AB8	0x9AB8
浬	1-19-29	第1水準	U+6D6C	0x6D6C
馨	1-19-30	第1水準	U+99A8	0x99A8
蛙	1-19-31	第1水準	U+86D9	0x86D9
垣	1-19-32	第1水準	U+57A3	0x57A3
柿	1-19-33	第1水準	U+67FF	0x67FF
蛎	1-19-34	第1水準	U+86CE	0x86CE
鈎	1-19-35	第1水準	U+920E	0x920E
劃	1-19-36	第1水準	U+5283	0x5283
嚇	1-19-37	第1水準	U+5687	0x5687
各	1-19-38	第1水準	U+5404	0x5404
廓	1-19-39	第1水準	U+5ED3	0x5ED3
拡	1-19-40	第1水準	U+62E1	0x62E1
撹	1-19-41	第1水準	U+64B9	0x64B9
格	1-19-42	第1水準	U+683C	0x683C
核	1-19-43	第1水準	U+6838	0x6838
殻	1-19-44	第1水準	U+6BBB	0x6BBB
獲	1-19-45	第1水準	U+7372	0x7372
確	1-19-46	第1水準	U+78BA	0x78BA
穫	1-19-47	第1水準	U+7A6B	0x7A6B
覚	1-19-48	第1水準	U+899A	0x899A
角	1-19-49	第1水準	U+89D2	0x89D2
赫	1-19-50	第1水準	U+8D6B	0x8D6B
較	1-19-51	第1水準	U+8F03	0x8F03
郭	1-19-52	第1水準	U+90ED	0x90ED
閣	1-19-53	第1水準	U+95A3	0x95A3
隔	1-19-54	第1水準	U+9694	0x9694
革	1-19-55	第1水準	U+9769	0x9769
学	1-19-56	第1水準	U+5B66	0x5B66
岳	1-19-57	第1水準	U+5CB3	0x5CB3
楽	1-19-58	第1水準	U+697D	0x697D
額	1-19-59	第1水準	U+984D	0x984D
顎	1-19-60	第1水準	U+984E	0x984E
掛	1-19-61	第1水準	U+639B	0x639B
笠	1-19-62	第1水準	U+7B20	0x7B20
樫	1-19-63	第1水準	U+6A2B	0x6A2B
橿	1-19-64	第1水準	U+6A7F	0x6A7F
梶	1-19-65	第1水準	U+68B6	0x68B6
鰍	1-19-66	第1水準	U+9C0D	0x9C0D
潟	1-19-67	第1水準	U+6F5F	0x6F5F
割	1-19-68	第1水準	U+5272	0x5272
喝	1-19-69	第1水準	U+559D	0x559D
恰	1-19-70	第1水準	U+6070	0x6070
括	1-19-71	第1水準	U+62EC	0x62EC
活	1-19-72	第1水準	U+6D3B	0x6D3B
渇	1-19-73	第1水準	U+6E07	0x6E07
滑	1-19-74	第1水準	U+6ED1	0x6ED1
葛	1-19-75	第1水準	U+845B	0x845B
褐	1-19-76	第1水準	U+8910	0x8910
轄	1-19-77	第1水準	U+8F44	0x8F44
且	1-19-78	第1水準	U+4E14	0x4E14
鰹	1-19-79	第1水準	U+9C39	0x9C39
叶	1-19-80	第1水準	U+53F6	0x53F6
椛	1-19-81	第1水準	U+691B	0x691B
樺	1-19-82	第1水準	U+6A3A	0x6A3A
鞄	1-19-83	第1水準	U+9784	0x9784
株	1-19-84	第1水準	U+682A	0x682A
兜	1-19-85	第1水準	U+515C	0x515C
竃	1-19-86	第1水準	U+7AC3	0x7AC3
蒲	1-19-87	第1水準	U+84B2	0x84B2
釜	1-19-88	第1水準	U+91DC	0x91DC
鎌	1-19-89	第1水準	U+938C	0x938C
噛	1-19-90	第1水準	U+565B	0x565B
鴨	1-19-91	第1水準	U+9D28	0x9D28
栢	1-19-92	第1水準	U+6822	0x6822
茅	1-19-93	第1水準	U+8305	0x8305
萱	1-19-94	第1水準	U+8431	0x8431
粥	1-20-01	第1水準	U+7CA5	0x7CA5
刈	1-20-02	第1水準	U+5208	0x5208
苅	1-20-03	第1水準	U+82C5	0x82C5
瓦	1-20-04	第1水準	U+74E6	0x74E6
乾	1-20-05	第1水準	U+4E7E	0x4E7E
侃	1-20-06	第1水準	U+4F83	0x4F83
冠	1-20-07	第1水準	U+51A0	0x51A0
寒	1-20-08	第1水準	U+5BD2	0x5BD2
刊	1-20-09	第1水準	U+520A	0x520A
勘	1-20-10	第1水準	U+52D8	0x52D8
勧	1-20-11	第1水準	U+52E7	0x52E7
巻	1-20-12	第1水準	U+5DFB	0x5DFB
喚	1-20-13	第1水準	U+559A	0x559A
堪	1-20-14	第1水準	U+582A	0x582A
姦	1-20-15	第1水準	U+59E6	0x59E6
完	1-20-16	第1水準	U+5B8C	0x5B8C
官	1-20-17	第1水準	U+5B98	0x5B98
寛	1-20-18	第1水準	U+5BDB	0x5BDB
干	1-20-19	第1水準	U+5E72	0x5E72
幹	1-20-20	第1水準	U+5E79	0x5E79
患	1-20-21	第1水準	U+60A3	0x60A3
感	1-20-22	第1水準	U+611F	0x611F
慣	1-20-23	第1水準	U+6163	0x6163
憾	1-20-24	第1水準	U+61BE	0x61BE
換	1-20-25	第1水準	U+63DB	0x63DB
敢	1-20-26	第1水準	U+6562	0x6562
柑	1-20-27	第1水準	U+67D1	0x67D1
桓	1-20-28	第1水準	U+6853	0x6853
棺	1-20-29	第1水準	U+68FA	0x68FA
款	1-20-30	第1水準	U+6B3E	0x6B3E
歓	1-20-31	第1水準	U+6B53	0x6B53
汗	1-20-32	第1水準	U+6C57	0x6C57
漢	1-20-33	第1水準	U+6F22	0x6F22
澗	1-20-34	第1水準	U+6F97	0x6F97
潅	1-20-35	第1水準	U+6F45	0x6F45
環	1-20-36	第1水準	U+74B0	0x74B0
甘	1-20-37	第1水準	U+7518	0x7518
監	1-20-38	第1水準	U+76E3	0x76E3
看	1-20-39	第1水準	U+770B	0x770B
竿	1-20-40	第1水準	U+7AFF	0x7AFF
管	1-20-41	第1水準	U+7BA1	0x7BA1
簡	1-20-42	第1水準	U+7C21	0x7C21
緩	1-20-43	第1水準	U+7DE9	0x7DE9
缶	1-20-44	第1水準	U+7F36	0x7F36
翰	1-20-45	第1水準	U+7FF0	0x7FF0
肝	1-20-46	第1水準	U+809D	0x809D
艦	1-20-47	第1水準	U+8266	0x8266
莞	1-20-48	第1水準	U+839E	0x839E
観	1-20-49	第1水準	U+89B3	0x89B3
諌	1-20-50	第1水準	U+8ACC	0x8ACC
貫	1-20-51	第1水準	U+8CAB	0x8CAB
還	1-20-52	第1水準	U+9084	0x9084
鑑	1-20-53	第1水準	U+9451	0x9451
間	1-20-54	第1水準	U+9593	0x9593
閑	1-20-55	第1水準	U+9591	0x9591
関	1-20-56	第1水準	U+95A2	0x95A2
陥	1-20-57	第1水準	U+9665	0x9665
韓	1-20-58	第1水準	U+97D3	0x97D3
館	1-20-59	第1水準	U+9928	0x9928
舘	1-20-60	第1水準	U+8218	0x8218
丸	1-20-61	第1水準	U+4E38	0x4E38
含	1-20-62	第1水準	U+542B	0x542B
岸	1-20-63	第1水準	U+5CB8	0x5CB8
巌	1-20-64	第1水準	U+5DCC	0x5DCC
玩	1-20-65	第1水準	U+73A9	0x73A9
癌	1-20-66	第1水準	U+764C	0x764C
眼	1-20-67	第1水準	U+773C	0x773C
岩	1-20-68	第1水準	U+5CA9	0x5CA9
翫	1-20-69	第1水準	U+7FEB	0x7FEB
贋	1-20-70	第1水準	U+8D0B	0x8D0B
雁	1-20-71	第1水準	U+96C1	0x96C1
頑	1-20-72	第1水準	U+9811	0x9811
顔	1-20-73	第1水準	U+9854	0x9854
願	1-20-74	第1水準	U+9858	0x9858
企	1-20-75	第1水準	U+4F01	0x4F01
伎	1-20-76	第1水準	U+4F0E	0x4F0E
危	1-20-77	第1水準	U+5371	0x5371
喜	1-20-78	第1水準	U+559C	0x559C
器	1-20-79	第1水準	U+5668	0x5668
基	1-20-80	第1水準	U+57FA	0x57FA
奇	1-20-81	第1水準	U+5947	0x5947
嬉	1-20-82	第1水準	U+5B09	0x5B09
寄	1-20-83	第1水準	U+5BC4	0x5BC4
岐	1-20-84	第1水準	U+5C90	0x5C90
希	1-20-85	第1水準	U+5E0C	0x5E0C
幾	1-20-86	第1水準	U+5E7E	0x5E7E
忌	1-20-87	第1水準	U+5FCC	0x5FCC
揮	1-20-88	第1水準	U+63EE	0x63EE
机	1-20-89	第1水準	U+673A	0x673A
旗	1-20-90	第1水準	U+65D7	0x65D7
既	1-20-91	第1水準	U+65E2	0x65E2
期	1-20-92	第1水準	U+671F	0x671F
棋	1-20-93	第1水準	U+68CB	0x68CB
棄	1-20-94	第1水準	U+68C4	0x68C4
機	1-21-01	第1水準	U+6A5F	0x6A5F
帰	1-21-02	第1水準	U+5E30	0x5E30
毅	1-21-03	第1水準	U+6BC5	0x6BC5
気	1-21-04	第1水準	U+6C17	0x6C17
汽	1-21-05	第1水準	U+6C7D	0x6C7D
畿	1-21-06	第1水準	U+757F	0x757F
祈	1-21-07	第1水準	U+7948	0x7948
季	1-21-08	第1水準	U+5B63	0x5B63
稀	1-21-09	第1水準	U+7A00	0x7A00
紀	1-21-10	第1水準	U+7D00	0x7D00
徽	1-21-11	第1水準	U+5FBD	0x5FBD
規	1-21-12	第1水準	U+898F	0x898F
記	1-21-13	第1水準	U+8A18	0x8A18
貴	1-21-14	第1水準	U+8CB4	0x8CB4
起	1-21-15	第1水準	U+8D77	0x8D77
軌	1-21-16	第1水準	U+8ECC	0x8ECC
輝	1-21-17	第1水準	U+8F1D	0x8F1D
飢	1-21-18	第1水準	U+98E2	0x98E2
騎	1-21-19	第1水準	U+9A0E	0x9A0E
鬼	1-21-20	第1水準	U+9B3C	0x9B3C
亀	1-21-21	第1水準	U+4E80	0x4E80
偽	1-21-22	第1水準	U+507D	0x507D
儀	1-21-23	第1水準	U+5100	0x5100
妓	1-21-24	第1水準	U+5993	0x5993
宜	1-21-25	第1水準	U+5B9C	0x5B9C
戯	1-21-26	第1水準	U+622F	0x622F
技	1-21-27	第1水準	U+6280	0x6280
擬	1-21-28	第1水準	U+64EC	0x64EC
欺	1-21-29	第1水準	U+6B3A	0x6B3A
犠	1-21-30	第1水準	U+72A0	0x72A0
疑	1-21-31	第1水準	U+7591	0x7591
祇	1-21-32	第1水準	U+7947	0x7947
義	1-21-33	第1水準	U+7FA9	0x7FA9
蟻	1-21-34	第1水準	U+87FB	0x87FB
誼	1-21-35	第1水準	U+8ABC	0x8ABC
議	1-21-36	第1水準	U+8B70	0x8B70
掬	1-21-37	第1水準	U+63AC	0x63AC
菊	1-21-38	第1水準	U+83CA	0x83CA
鞠	1-21-39	第1水準	U+97A0	0x97A0
吉	1-21-40	第1水準	U+5409	0x5409
吃	1-21-41	第1水準	U+5403	0x5403
喫	1-21-42	第1水準	U+55AB	0x55AB
桔	1-21-43	第1水準	U+6854	0x6854
橘	1-21-44	第1水準	U+6A58	0x6A58
詰	1-21-45	第1水準	U+8A70	0x8A70
砧	1-21-46	第1水準	U+7827	0x7827
杵	1-21-47	第1水準	U+6775	0x6775
黍	1-21-48	第1水準	U+9ECD	0x9ECD
却	1-21-49	第1水準	U+5374	0x5374
客	1-21-50	第1水準	U+5BA2	0x5BA2
脚	1-21-51	第1水準	U+811A	0x811A
虐	1-21-52	第1水準	U+8650	0x8650
逆	1-21-53	第1水準	U+9006	0x9006
丘	1-21-54	第1水準	U+4E18	0x4E18
久	1-21-55	第1水準	U+4E45	0x4E45
仇	1-21-56	第1水準	U+4EC7	0x4EC7
休	1-21-57	第1水準	U+4F11	0x4F11
及	1-21-58	第1水準	U+53CA	0x53CA
吸	1-21-59	第1水準	U+5438	0x5438
宮	1-21-60	第1水準	U+5BAE	0x5BAE
弓	1-21-61	第1水準	U+5F13	0x5F13
急	1-21-62	第1水準	U+6025	0x6025
救	1-21-63	第1水準	U+6551	0x6551
朽	1-21-64	第1水準	U+673D	0x673D
求	1-21-65	第1水準	U+6C42	0x6C42
汲	1-21-66	第1水準	U+6C72	0x6C72
泣	1-21-67	第1水準	U+6CE3	0x6CE3
灸	1-21-68	第1水準	U+7078	0x7078
球	1-21-69	第1水準	U+7403	0x7403
究	1-21-70	第1水準	U+7A76	0x7A76
窮	1-21-71	第1水準	U+7AAE	0x7AAE
笈	1-21-72	第1水準	U+7B08	0x7B08
級	1-21-73	第1水準	U+7D1A	0x7D1A
糾	1-21-74	第1水準	U+7CFE	0x7CFE
給	1-21-75	第1水準	U+7D66	0x7D66
旧	1-21-76	第1水準	U+65E7	0x65E7
牛	1-21-77	第1水準	U+725B	0x725B
